method,mia_score,forget_accuracy,forget_confidence,js_divergence,kl_divergence,relearn_steps,retain_auc,test_auc,wall_clock_seconds,speedup_vs_retrain,changed_params,total_params,pct_params_changed,delta_eo,ece
full_retrain,0.5571428571428572,0.6857142857142857,0.27649620175361633,0.0,0.0,10,0.8602607067466517,0.7436683006535948,4.059991510002874,1.0,308352,308353,99.999675696361,0.47496947496947495,0.11742145657539367
gradient_diff_alpha_2.0,0.6142857142857143,0.7142857142857143,0.3320239186286926,0.022881849612264582,0.08451759070158005,1,0.7543679709954799,0.7553104575163399,4.769779352005571,0.8511906338593526,299910,308353,97.261904375829,0.16776048026048018,0.12691721469163894
random_labels,0.9142857142857143,0.7571428571428571,0.38829275965690613,0.038916299891037245,0.1390005201101303,1,0.7591503774642513,0.7892156862745098,0.9484521889826283,4.280649628061785,308008,308353,99.88811524454115,0.0,0.1394643392165502
