method,mia_score,forget_accuracy,forget_confidence,js_divergence,kl_divergence,relearn_steps,retain_auc,test_auc,wall_clock_seconds,speedup_vs_retrain,changed_params,total_params,pct_params_changed,delta_eo,ece
full_retrain,0.5571428571428572,0.6857142857142857,0.27649620175361633,0.0,0.0,10,0.8602607067466517,0.7436683006535948,3.49635880603455,1.0,308352,308353,99.999675696361,0.47496947496947495,0.11742145657539367
gradient_diff_alpha_2.0,0.6142857142857143,0.7142857142857143,0.3320239186286926,0.022881849612264582,0.08451759070158005,1,0.7543679709954799,0.7553104575163399,4.696095666964538,0.7445246123562312,299910,308353,97.261904375829,0.16776048026048018,0.12691721469163894
gradient_ascent,1.0,0.24285714285714285,0.5822629928588867,,0.28111469745635986,5,0.6793402425789217,0.6901552287581699,1.1621109729167074,3.0086273062711597,299704,308353,97.19509782619271,0.0,0.26251857280731195
finetune_retain,0.5142857142857142,0.7571428571428571,0.31363165378570557,0.03404805159196258,0.1263027787208557,1,0.7612493887822157,0.7908496732026145,0.436997803975828,8.000861272584213,306605,308353,99.43311723900854,0.0,0.1569645459453265
influence_fn,0.9571428571428572,0.7571428571428571,0.19241224229335785,0.04401147899994006,0.18438918888568878,1,0.7596274254910613,0.8078022875816994,4.0027053110534325,0.8734989299310615,287310,308353,93.17567852428873,0.0,0.11985309412082035
scrub,1.0,0.3142857142857143,0.5809527635574341,,0.25978609919548035,4,0.6308244582523346,0.5825163398692811,3.6255876689683646,0.9643564368778357,299791,308353,97.22331224278668,0.11501322751322751,0.24751998404661812
random_labels,1.0,0.7571428571428571,0.40328261256217957,0.041039072420292845,0.14602643251419067,1,0.7565743181194766,0.789828431372549,0.4761659490177408,7.342731695214695,307895,308353,99.8514689333329,0.0,0.12698726852734885
sisa,1.0,0.7571428571428571,0.27405720949172974,0.030360299015495307,0.11557784676551819,1,0.7729370654390632,0.7512254901960784,3.3754813419654965,1.0358104376304056,308352,308353,99.999675696361,0.0,0.08830381035804749
