method,mia_score,forget_accuracy,forget_confidence,js_divergence,kl_divergence,relearn_steps,retain_auc,test_auc,wall_clock_seconds,speedup_vs_retrain,changed_params,total_params,pct_params_changed,delta_eo,ece
full_retrain,0.5571428571428572,0.6857142857142857,0.27649620175361633,0.0,0.0,10,0.8602607067466517,0.7436683006535948,4.18248604494147,1.0,308352,308353,99.999675696361,0.47496947496947495,0.11742145657539367
gradient_diff_alpha_2.0,0.6142857142857143,0.7142857142857143,0.3320239186286926,0.022881849612264582,0.08451759070158005,1,0.7543679709954799,0.7553104575163399,4.275337051018141,0.9782821786987392,299910,308353,97.261904375829,0.16776048026048018,0.12691721469163894
random_labels,0.9857142857142858,0.7571428571428571,0.4066811501979828,0.040791906824645896,0.14499159157276154,1,0.7561330486946773,0.7875816993464052,0.6078614430734888,6.880656920422273,307769,308353,99.81060667481749,0.0,0.13784420847892762
